date,Predicted Variable
2018-10-29,-0.7912721633911133
2018-11-05,-0.8432061672210693
2018-11-12,-0.8590162396430969
2018-11-19,-0.8949066996574402
2018-11-26,-0.9233917593955994
2018-12-03,-0.9450836181640625
2018-12-10,-0.9562023282051086
2018-12-17,-0.9586078524589539
2018-12-24,-0.9561036825180054
2018-12-31,-0.9509000778198242
2019-01-07,-0.9425405263900757
2019-01-14,-0.9312099814414978
2019-01-21,-0.9173477292060852
2019-01-28,-0.9049671292304993
2019-02-04,-0.8953607678413391
2019-02-11,-0.8810451030731201
2019-02-18,-0.8613974452018738
2019-02-25,-0.8374590277671814
2019-03-04,-0.8176623582839966
2019-03-11,-0.8000218272209167
2019-03-18,-0.7794861793518066
2019-03-25,-0.7571053504943848
2019-04-01,-0.7395135164260864
2019-04-08,-0.7220888137817383
2019-04-15,-0.7039414048194885
2019-04-22,-0.6854640245437622
2019-04-29,-0.6683576107025146
2019-05-06,-0.6539178490638733
2019-05-13,-0.639091432094574
2019-05-20,-0.6224226951599121
2019-05-27,-0.6043609380722046
2019-06-03,-0.5859218835830688
2019-06-10,-0.5729224681854248
2019-06-17,-0.5569186210632324
2019-06-24,-0.5383460521697998
2019-07-01,-0.5259048342704773
2019-07-08,-0.5073927044868469
2019-07-15,-0.4904530644416809
2019-07-22,-0.4788824617862701
2019-07-29,-0.4707959294319153
2019-08-05,-0.4550562500953674
2019-08-12,-0.4345882833003998
2019-08-19,-0.4153157770633698
2019-08-26,-0.3961626887321472
2019-09-02,-0.3805074691772461
2019-09-09,-0.360803097486496
2019-09-16,-0.3418321907520294
2019-09-23,-0.3233737051486969
2019-09-30,-0.3122287094593048
2019-10-07,-0.302451491355896
2019-10-14,-0.2905782163143158
2019-10-21,-0.277520477771759
2019-10-28,-0.2596649825572968
2019-11-04,-0.2410586029291153
2019-11-11,-0.2196479439735413
2019-11-18,-0.1976460665464401
2019-11-25,-0.1839947104454041
2019-12-02,-0.1672600507736206
2019-12-09,-0.1499261111021042
2019-12-16,-0.1344101279973984
2019-12-23,-0.1214112490415573
2019-12-30,-0.1100773140788078
2020-01-06,-0.09995286166667938
2020-01-13,-0.08562777936458588
2020-01-20,-0.07108041644096375
2020-01-27,-0.05725539103150368
2020-02-03,-0.04183204844594002
2020-02-10,-0.02237172611057758
2020-02-17,-0.001735102967359126
2020-02-24,0.02173093147575855
2020-03-02,0.04344530031085014
2020-03-09,0.06505706906318665
2020-03-16,0.07754559814929962
2020-03-23,0.09241607040166855
2020-03-30,0.1110353171825409
2020-04-06,0.1293769478797913
2020-04-13,0.1477675586938858
2020-04-20,0.1661568582057953
2020-04-27,0.1819498240947723
2020-05-04,0.19878089427948
2020-05-11,0.213274359703064
2020-05-18,0.2303017377853394
2020-05-25,0.2476921677589417
2020-06-01,0.2653126418590546
2020-06-08,0.2901060283184052
2020-06-15,0.3156959116458893
2020-06-22,0.3353438675403595
2020-06-29,0.3506444692611694
2020-07-06,0.3625994920730591
2020-07-13,0.3754882514476776
2020-07-20,0.3847218155860901
2020-07-27,0.3966678082942963
2020-08-03,0.4121676385402679
